Year_of_Birth,Education_Level,Marital_Status,Disposable_Income,No_of_Kids_in_home,No_of_Teen_in_home,Recency,Discounted_Purchases,WebPurchases,CatalogPurchases,StorePurchases,Amount_on_Wines,Amount_on_Fruits,Amount_on_MeatProducts,Amount_on_FishProducts,Amount_on_SweetProducts,Amount_on_GoldProds,WebVisitsMonth,Cmp3Accepted,Cmp4Accepted,Cmp5Accepted,Cmp1Accepted,Cmp2Accepted,Any_Complain,Enrol_year,Enrol_Month,Enrol_Age,Enrol_day,Enrol_wkday,Year_Birth_Clus,CatPurchase_Clus,WebPurchuse_Clus,WebVisit_Clus,Education_Ordinal
1986,Graduation,Married,53186.4,1,0,37,2,3,0,3,51,3,40,3,0,3,8,0,0,0,0,0,0,2014,6,28,16,Monday,1,0,0,0,5
1967,Graduation,Married,73543.2,0,1,41,2,7,1,8,361,3,107,19,9,117,5,0,0,0,0,0,0,2013,2,46,8,Friday,1,0,0,0,5
1961,Master,Married,36626.4,0,1,13,5,1,2,9,184,11,83,19,11,26,2,0,0,0,0,0,0,2012,8,51,17,Friday,1,0,0,0,3
1985,Graduation,Married,108000.0,0,0,98,1,4,8,5,680,147,133,94,192,241,1,1,0,1,1,0,0,2013,12,28,23,Monday,1,0,0,0,5
1978,Graduation,Together,66450.0,0,1,10,1,1,1,6,47,14,57,10,28,14,2,0,0,0,0,0,0,2013,10,35,17,Thursday,1,0,0,0,5
1974,Master,Divorced,52861.2,1,1,27,4,3,1,4,84,10,58,6,3,18,6,0,0,0,0,0,0,2013,1,39,29,Tuesday,1,0,0,0,3
1976,PhD,Together,74286.0,0,1,9,2,4,2,4,172,3,43,6,2,13,5,0,0,0,0,0,0,2014,4,38,2,Wednesday,1,0,0,0,4
1970,PhD,Single,57888.0,0,0,80,3,6,3,13,394,94,248,64,49,41,5,0,0,0,0,0,0,2012,9,42,11,Tuesday,1,0,0,0,4
1965,PhD,Married,54910.8,1,1,20,2,2,0,3,47,4,18,3,0,4,7,0,0,0,0,0,0,2013,2,48,23,Saturday,1,0,0,0,4
1965,Secondary,Together,81979.2,0,1,61,5,10,7,10,811,83,161,120,11,33,6,0,0,0,0,0,0,2012,4,47,11,Wednesday,1,0,0,0,2
1986,Graduation,Single,26792.4,1,0,101,1,1,0,3,10,7,8,2,0,5,5,0,0,0,0,0,0,2013,2,27,8,Friday,1,0,0,0,5
1976,Graduation,Married,57813.6,1,1,76,6,5,1,4,164,7,45,6,2,38,8,0,0,0,0,0,0,2012,10,36,28,Sunday,1,0,0,0,5
1971,PhD,Together,93146.4,0,2,10,2,6,3,11,525,10,154,19,0,14,3,0,0,0,0,0,0,2014,4,43,14,Monday,1,0,0,0,4
1978,Graduation,Together,39813.6,1,0,16,1,1,0,3,17,9,2,11,2,16,4,0,0,0,0,0,0,2014,1,36,30,Thursday,1,0,0,0,5
1978,Graduation,Single,28515.6,1,0,71,1,1,0,3,27,3,6,6,2,6,7,0,0,0,0,0,0,2012,7,34,8,Sunday,1,0,0,0,5
1972,Graduation,Married,63037.2,0,0,75,2,7,2,10,288,115,151,51,72,125,6,0,0,0,0,0,0,2012,12,40,30,Sunday,1,0,0,0,5
1952,PhD,Single,77940.0,0,1,36,2,11,2,10,824,3,72,12,0,63,7,0,1,0,0,0,0,2012,12,60,8,Saturday,1,0,0,0,4
1977,Secondary,Together,30211.2,1,1,86,1,1,0,2,9,3,4,0,0,5,7,0,0,0,0,0,0,2013,10,36,8,Tuesday,1,0,0,0,2
1977,Basic,Divorced,11457.6,1,0,38,2,1,0,3,5,4,3,10,6,9,8,0,0,0,0,0,0,2012,8,35,8,Wednesday,1,0,0,0,1
1960,Graduation,Together,85640.4,0,0,31,1,4,5,7,232,26,389,42,21,75,2,0,0,0,0,0,0,2013,8,53,23,Friday,1,0,0,0,5
1980,Graduation,Married,85951.2,0,0,101,1,5,5,8,551,75,376,94,145,72,3,0,1,0,0,0,0,2012,1,32,11,Wednesday,1,0,0,0,5
1984,Graduation,Together,26412.0,1,0,58,2,2,0,3,16,5,9,3,0,8,8,0,0,0,0,0,0,2013,6,29,30,Sunday,1,0,0,0,5
1977,Graduation,Together,43539.6,1,1,49,2,1,0,3,11,8,5,8,0,5,4,0,0,0,0,0,0,2014,4,37,14,Monday,1,0,0,0,5
1977,Secondary,Together,43561.2,1,0,60,1,3,0,3,16,15,35,3,5,12,7,0,0,0,0,0,0,2013,10,36,25,Friday,1,0,0,0,2
1973,PhD,Married,51922.8,1,0,68,1,1,0,2,15,4,7,0,0,1,8,0,0,0,0,0,0,2013,9,40,16,Monday,1,0,0,0,4
1963,PhD,Widow,99085.2,0,0,35,0,6,5,13,866,34,558,62,95,79,2,0,0,1,0,0,0,2014,2,51,4,Tuesday,1,0,0,0,4
1974,Graduation,Together,68520.0,0,0,26,1,3,3,6,186,24,69,39,3,96,3,0,0,0,0,0,0,2013,4,39,12,Friday,1,0,0,0,5
1987,Graduation,Married,30302.4,1,0,33,1,1,0,2,6,6,4,2,2,6,8,0,0,0,0,0,0,2013,12,26,7,Saturday,1,0,0,0,5
1947,PhD,Single,99360.0,0,0,30,1,7,6,12,1011,25,115,59,68,45,3,0,0,1,1,0,0,2012,11,65,24,Saturday,1,0,0,0,4
1973,Master,Single,55707.6,1,1,13,3,2,0,4,73,3,16,0,0,8,7,0,0,0,0,0,0,2013,9,40,18,Wednesday,1,0,0,0,3
1956,Master,Married,46142.4,1,1,69,3,3,0,3,61,3,14,0,0,2,7,0,0,0,0,0,0,2014,3,58,30,Sunday,1,0,0,0,3
1980,Master,Married,39318.0,1,0,56,2,2,0,4,18,6,17,7,3,3,5,0,0,0,0,0,0,2014,2,34,23,Sunday,1,0,0,0,3
1976,Graduation,Together,91838.4,1,1,45,4,9,5,7,360,33,177,90,138,30,5,0,0,0,0,0,0,2013,9,37,9,Monday,1,0,0,0,5
1970,Master,Together,77871.05492067258,1,1,59,7,4,10,4,380,45,48,94,66,96,3,0,0,0,0,0,0,2013,5,43,18,Saturday,1,0,0,0,3
1975,Graduation,Married,53986.8,0,1,33,5,5,1,5,103,3,106,49,10,106,6,0,0,0,0,0,0,2012,12,37,9,Sunday,1,0,0,0,5
1956,Graduation,Divorced,59317.2,0,1,16,2,7,1,5,224,6,100,26,0,17,8,0,0,0,0,0,0,2012,3,56,8,Thursday,1,0,0,0,5
1947,PhD,Together,76816.8,2,1,63,7,8,2,5,411,3,30,0,0,8,7,0,0,0,1,0,0,2014,10,67,6,Monday,1,0,0,0,4
1966,Graduation,Married,82966.8,0,1,30,1,4,1,5,91,15,75,33,15,6,4,0,0,0,0,0,0,2014,1,48,27,Monday,1,0,0,0,5
1970,PhD,Single,79898.4,0,0,90,1,2,8,9,794,28,420,16,38,0,1,0,0,0,0,0,0,2014,3,44,3,Monday,1,0,0,0,4
1974,PhD,Married,103012.8,0,0,69,1,6,6,7,943,22,843,25,95,38,2,0,0,1,0,0,0,2014,5,40,29,Thursday,1,0,0,0,4
1974,PhD,Single,56224.8,1,1,88,6,5,1,3,101,4,79,7,1,79,8,1,0,0,0,0,0,2014,3,40,31,Monday,1,0,0,0,4
1973,PhD,Together,41493.6,2,1,8,1,1,0,2,12,3,1,0,0,0,6,0,0,0,0,0,0,2014,11,41,4,Tuesday,1,0,0,0,4
1978,Graduation,Married,41256.0,1,0,75,4,4,1,3,77,10,58,13,1,24,8,0,0,0,0,0,0,2013,2,35,5,Tuesday,1,0,0,0,5
1952,Graduation,Married,53626.8,1,1,89,2,1,1,2,23,3,5,0,0,11,7,1,0,0,0,0,0,2014,10,62,1,Wednesday,1,0,0,0,5
1969,Graduation,Married,77508.0,0,0,105,1,9,4,10,925,141,168,36,46,30,6,0,0,0,0,0,0,2012,10,43,14,Sunday,1,0,0,0,5
1977,PhD,Divorced,84214.8,0,1,17,3,7,3,13,537,91,168,69,44,133,5,0,0,0,0,0,0,2013,7,36,21,Sunday,1,0,0,0,4
1986,PhD,Married,21802.8,1,0,47,1,1,0,2,14,3,5,0,0,7,8,0,0,0,0,0,0,2013,2,27,19,Tuesday,1,0,0,0,4
1989,PhD,Married,81055.2,0,0,97,1,4,10,5,869,137,768,150,38,172,3,0,0,0,0,0,0,2012,8,23,31,Friday,1,0,0,0,4
1956,Graduation,Married,89121.59999999998,0,0,90,1,4,3,5,204,69,315,97,174,41,2,0,0,0,0,0,0,2013,2,57,14,Thursday,1,0,0,0,5
1982,Graduation,Together,50594.4,1,0,38,2,3,1,3,51,10,59,2,4,27,6,1,0,0,0,0,0,2013,11,31,19,Tuesday,1,0,0,0,5
1976,Master,Married,110595.6,0,0,32,0,5,11,5,822,186,797,106,163,20,2,0,0,1,1,0,0,2012,12,36,12,Wednesday,1,0,0,0,3
1966,Graduation,Single,83115.59999999999,0,1,21,1,9,1,7,497,8,32,13,5,21,6,0,1,0,0,0,0,2014,5,48,3,Saturday,1,0,0,0,5
1976,Graduation,Together,26736.0,1,0,92,1,1,0,2,7,4,4,3,1,2,8,0,0,0,0,0,0,2013,5,37,19,Sunday,1,0,0,0,5
1955,Graduation,Divorced,102819.6,0,0,13,1,2,4,10,1301,20,311,45,69,51,1,0,1,1,1,1,0,2014,3,59,21,Friday,1,0,0,0,5
1964,Graduation,Married,92924.4,0,0,77,1,4,5,13,565,24,442,29,44,29,1,0,0,1,0,0,0,2013,11,49,26,Tuesday,1,0,0,0,5
1961,PhD,Married,92444.4,0,1,10,1,7,7,12,468,99,333,168,53,10,3,0,0,0,0,0,0,2013,10,52,13,Sunday,1,0,0,0,4
1983,Graduation,Together,23332.8,1,0,15,3,4,1,2,21,3,23,3,2,10,7,0,0,0,0,0,0,2014,2,31,22,Saturday,1,0,0,0,5
1955,Graduation,Single,43356.0,0,1,53,6,3,8,4,162,46,127,68,56,37,4,1,0,0,0,0,0,2013,2,58,2,Saturday,1,0,0,0,5
1977,Graduation,Single,56430.0,0,1,59,3,6,3,5,259,10,108,20,0,26,6,0,0,0,0,0,0,2013,7,36,11,Thursday,1,0,0,0,5
1977,Graduation,Married,36926.4,1,1,96,1,1,0,2,12,5,4,2,1,4,6,0,0,0,0,0,0,2014,12,37,3,Wednesday,1,0,0,0,5
1960,PhD,Single,66818.22328447543,0,0,87,1,1,3,4,86,14,50,3,2,39,2,0,0,0,0,0,0,2013,5,53,11,Saturday,1,0,0,0,4
1973,Graduation,Single,46569.6,1,0,28,4,5,1,4,130,20,52,3,19,30,8,1,0,0,0,0,0,2012,8,39,26,Sunday,1,0,0,0,5
1964,Graduation,Divorced,40053.6,1,1,45,3,2,0,4,38,9,40,3,7,10,7,0,0,0,0,0,0,2013,6,49,2,Sunday,1,0,0,0,5
1976,Graduation,Single,39898.8,1,0,18,2,2,1,3,11,13,21,19,14,42,6,0,0,0,0,0,0,2013,2,37,20,Wednesday,1,0,0,0,5
1960,PhD,Single,41464.8,0,1,50,2,2,0,3,46,4,6,2,0,5,6,0,0,0,0,0,0,2014,3,54,30,Sunday,1,0,0,0,4
1975,PhD,Married,48412.8,0,1,55,2,4,1,5,215,3,6,0,0,2,7,0,0,0,0,0,0,2013,10,38,13,Sunday,1,0,0,0,4
1977,Graduation,Divorced,37190.4,1,0,90,1,1,0,3,22,3,14,7,3,2,7,0,0,0,0,0,0,2013,4,36,22,Monday,1,0,0,0,5
1966,Graduation,Single,73870.8,0,1,15,1,4,2,10,284,86,88,32,14,34,3,0,0,0,0,0,0,2013,7,47,17,Wednesday,1,0,0,0,5
1970,Graduation,Married,62895.6,0,2,63,4,6,4,12,300,109,271,75,98,65,6,0,0,0,0,0,0,2013,2,43,2,Saturday,1,0,0,0,5
1971,PhD,Married,66189.59999999999,1,1,79,4,7,2,5,298,3,87,4,11,23,7,0,0,0,0,0,0,2012,7,41,30,Monday,1,0,0,0,4
1972,PhD,Together,94370.4,0,1,90,1,4,9,4,1401,3,322,46,35,17,6,0,0,0,0,0,0,2013,4,41,21,Sunday,1,0,0,0,4
1979,Secondary,Together,105503.3194448486,0,0,60,0,0,0,1,37,5,1607,12,4,22,0,0,1,0,0,0,0,2012,12,33,8,Saturday,1,0,0,0,2
