Year_of_Birth,Marital_Status,Disposable_Income,No_of_Kids_in_home,No_of_Teen_in_home,Recency,Discounted_Purchases,WebPurchases,CatalogPurchases,StorePurchases,Amount_on_Wines,Amount_on_Fruits,Amount_on_MeatProducts,Amount_on_FishProducts,Amount_on_SweetProducts,Amount_on_GoldProds,WebVisitsMonth,Cmp3Accepted,Cmp4Accepted,Cmp5Accepted,Cmp1Accepted,Cmp2Accepted,Any_Complain,Enrol_year,Enrol_Month,Enrol_Age,Enrol_day,Enrol_wkday,Year_Birth_Clus,CatPurchase_Clus,WebPurchuse_Clus,WebVisit_Clus,Education_Ordinal
1973,1,71599.2,1,1,94,7,3,2,8,2.0074259711743165,4.04305126783455,5.187385805840755,3.1780538303479458,2.8903717578961645,4.897839799950911,8,0,1,0,0,0,0,2013,3,40,22,0,1,0,0,0,5
1955,2,109119.6,0,0,97,1,4,6,4,2.0710845977097856,3.5553480614894135,6.066108090103747,4.143134726391533,4.1588830833596715,4.382026634673881,1,0,0,1,0,0,0,2014,3,59,31,1,1,0,0,0,4
1952,1,36999.6,1,1,40,2,1,0,3,1.3437034446606386,1.3862943611198906,2.0794415416798357,1.3862943611198906,0.6931471805599453,1.9459101490553132,5,0,0,0,0,0,0,2013,7,61,16,5,1,0,0,0,5
1972,1,72702.0,1,1,24,10,7,4,9,1.8885037407137346,3.828641396489095,5.736572297479192,4.02535169073515,3.7612001156935624,3.091042453358316,5,0,0,0,0,0,0,2013,6,41,24,1,1,0,0,0,4
1971,1,27574.8,1,0,36,3,3,2,2,1.4087998161504007,3.044522437723423,2.995732273553991,3.044522437723423,3.091042453358316,3.1354942159291497,8,0,0,0,0,0,0,2012,6,41,9,2,1,0,0,0,5
1958,0,92756.4,0,0,91,1,5,7,9,1.9495984779180693,4.174387269895637,4.700480365792417,3.8918202981106265,4.812184355372417,3.7376696182833684,4,0,0,0,1,0,0,2013,1,55,26,2,1,0,0,0,2
1972,0,2076.0,0,0,72,15,0,0,0,1.0804178182729878,1.6094379124341003,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,20,0,0,0,0,0,0,2014,5,42,18,3,1,0,0,1,5
1956,1,46142.4,1,1,69,3,3,0,3,1.63454690370149,1.3862943611198906,2.70805020110221,0.0,0.0,1.0986122886681098,7,0,0,0,0,0,0,2014,3,58,30,3,1,0,0,0,3
1951,3,71150.4,0,1,78,2,3,5,8,1.938834108912874,2.8903717578961645,4.23410650459726,2.995732273553991,2.70805020110221,2.70805020110221,3,0,0,0,0,0,0,2013,6,62,13,4,1,0,0,0,4
1988,2,28130.4,1,0,78,1,1,0,3,1.1247482629090362,1.3862943611198906,1.9459101490553132,2.1972245773362196,1.9459101490553132,1.791759469228055,7,0,0,0,0,0,0,2012,12,24,24,1,1,0,0,0,5
1984,3,47343.6,1,0,71,2,2,0,3,1.5996388013001024,1.3862943611198906,2.0794415416798357,0.0,0.0,1.0986122886681098,6,0,0,0,0,0,0,2014,3,30,4,5,1,0,0,0,5
1984,1,47906.4,1,0,37,2,3,0,4,1.5163019408528369,2.772588722239781,4.0943445622221,2.995732273553991,0.6931471805599453,3.6109179126442243,8,0,0,0,0,0,0,2013,2,29,14,4,1,0,0,0,5
1976,3,71377.2,0,1,54,2,3,3,8,1.8269553882413483,1.9459101490553132,4.454347296253507,4.276666119016055,4.204692619390966,4.07753744390572,2,0,0,0,0,0,0,2013,10,37,23,6,1,0,0,0,5
1953,1,40132.8,1,1,31,1,1,0,2,1.2917246727283112,1.3862943611198906,2.1972245773362196,0.0,0.0,1.0986122886681098,8,0,0,0,0,0,0,2012,3,59,11,3,1,0,0,0,3
1981,1,98996.4,0,0,39,1,2,7,9,2.036420868292835,4.890349128221754,6.352629396319567,5.37989735354046,3.091042453358316,5.318119993844216,4,0,0,1,0,0,0,2012,10,31,31,6,1,0,0,0,5
1990,2,55328.4,1,0,85,1,1,1,4,1.5284269505599697,2.5649493574615367,3.332204510175204,2.833213344056216,2.302585092994046,3.5263605246161616,3,0,0,0,0,0,0,2014,10,24,2,4,1,0,0,0,5
1970,1,113845.2,0,2,106,1,8,5,4,1.818853419699573,3.332204510175204,6.317164686747284,5.241747015059643,0.0,4.976733742420574,7,0,1,1,0,0,0,2012,1,42,9,1,1,0,0,0,4
1986,2,84715.2,0,0,75,1,3,5,12,1.9266498629615478,3.871201010907891,6.282266746896006,2.8903717578961645,0.0,3.295836866004329,2,0,0,0,0,0,0,2012,5,26,10,4,1,0,0,0,5
1977,3,36672.0,1,0,13,1,1,0,3,1.3105061862047918,1.6094379124341003,1.791759469228055,1.6094379124341003,1.791759469228055,2.0794415416798357,7,0,0,0,0,0,0,2013,6,36,27,4,1,0,0,0,3
1977,3,78124.8,0,1,11,2,3,5,7,2.0297313402277135,1.3862943611198906,5.4510384535657,2.6390573296152584,3.044522437723423,3.9318256327243257,7,0,0,0,0,0,0,2013,11,36,14,4,1,0,0,0,3
1971,0,31150.8,1,1,8,2,1,2,2,1.1947055233182955,1.791759469228055,2.5649493574615367,2.0794415416798357,1.791759469228055,3.295836866004329,6,0,0,0,0,0,0,2013,2,42,14,4,1,0,0,0,2
1966,3,85935.59999999999,0,0,33,1,8,2,10,1.9556377660352045,3.970291913552122,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,4,0,0,0,0,0,0,2013,8,47,21,6,1,0,0,0,5
1966,0,77011.2,0,1,59,8,8,9,8,2.0927803669413247,3.6109179126442243,5.521460917862246,4.174387269895637,4.762173934797756,5.0106352940962555,6,0,0,0,0,0,0,2012,3,46,8,4,1,0,0,0,2
1969,1,61544.4,1,1,17,3,4,1,3,1.7599564649868773,1.3862943611198906,3.1354942159291497,2.6390573296152584,0.0,3.4339872044851463,7,0,0,0,0,0,0,2014,1,45,4,2,1,0,0,0,5
1973,1,43231.2,2,1,41,2,2,0,3,1.448822238365871,2.0794415416798357,2.3978952727983707,1.9459101490553132,1.6094379124341003,2.8903717578961645,6,0,0,0,0,0,0,2014,3,41,16,3,1,0,0,0,5
1900,3,100238.4,0,0,43,1,4,6,4,2.032694916281349,4.997212273764115,6.333279628139691,4.653960350157523,4.174387269895637,5.41610040220442,1,0,0,1,0,0,0,2013,9,113,26,4,0,0,0,0,4
1972,1,94717.2,0,0,26,1,2,8,13,1.919871631657153,5.303304908059076,5.14166355650266,4.07753744390572,5.030437921392435,3.58351893845611,1,0,0,0,0,0,0,2013,10,41,25,0,1,0,0,0,4
1967,1,45814.8,1,1,37,4,3,1,3,1.5653166550596793,2.0794415416798357,3.1354942159291497,1.6094379124341003,1.0986122886681098,3.044522437723423,7,0,0,0,0,0,0,2013,3,46,14,4,1,0,0,0,3
1971,2,27102.0,0,0,30,1,1,1,2,1.1622831138840004,2.5649493574615367,2.772588722239781,2.6390573296152584,1.0986122886681098,3.6888794541139363,9,1,0,0,0,0,0,2013,3,42,18,1,1,0,0,0,5
1979,1,105716.4,1,0,31,1,6,5,8,1.8131782269605679,1.3862943611198906,6.175867270105761,0.0,4.844187086458591,4.330733340286331,9,0,1,1,1,0,0,2012,8,33,18,2,1,0,0,0,3
1987,1,9000.0,1,0,103,2,2,0,3,1.0804178182729878,2.70805020110221,1.791759469228055,1.6094379124341003,1.9459101490553132,2.302585092994046,8,0,0,0,0,0,0,2013,7,26,2,5,1,0,0,0,2
1984,2,38145.6,1,0,22,3,3,0,4,1.4087998161504007,2.3978952727983707,3.1780538303479458,0.0,2.1972245773362196,1.9459101490553132,5,0,0,0,0,0,1,2014,3,30,20,4,1,0,0,0,3
1986,2,35712.0,1,0,94,4,3,1,4,1.6579414149579819,2.0794415416798357,4.23410650459726,2.0794415416798357,1.791759469228055,2.8903717578961645,8,0,0,0,0,0,0,2012,8,26,29,6,1,0,0,0,5
1959,1,73288.8,0,1,44,7,11,5,8,2.038403653368476,1.3862943611198906,4.897839799950911,0.0,3.367295829986474,5.030437921392435,7,0,0,0,0,0,0,2012,8,53,17,0,1,0,0,0,5
1992,2,32241.6,1,0,59,1,1,0,2,1.026672031199051,1.3862943611198906,0.6931471805599453,2.1972245773362196,1.3862943611198906,1.0986122886681098,7,0,0,0,0,0,0,2014,4,22,30,6,1,0,0,0,1
1968,2,56284.8,1,1,27,4,5,1,4,1.8031780619573843,2.0794415416798357,4.04305126783455,0.0,2.302585092994046,3.4657359027997265,8,0,0,0,0,0,0,2012,3,44,11,3,1,0,0,0,5
1963,3,61434.0,1,1,53,8,9,2,5,1.8662223006181342,2.8903717578961645,5.056245805348308,4.418840607796598,3.2188758248682006,4.07753744390572,8,0,0,0,0,0,0,2013,1,50,4,0,1,0,0,0,5
1966,2,79552.8,0,0,75,1,4,3,5,1.879323983956676,4.718498871295094,5.814130531825066,4.189654742026425,4.532599493153256,4.770684624465665,2,0,0,0,0,0,0,2014,3,48,17,1,1,0,0,0,5
1972,4,54820.8,1,0,44,1,1,0,2,1.223156202527103,1.6094379124341003,1.791759469228055,2.3978952727983707,0.0,2.0794415416798357,7,0,0,0,0,0,0,2013,2,41,12,5,1,0,0,0,5
1957,0,31380.0,2,1,68,1,1,0,3,1.223156202527103,1.6094379124341003,2.6390573296152584,1.3862943611198906,1.791759469228055,0.6931471805599453,7,0,0,0,0,0,0,2013,11,56,3,3,1,0,0,0,5
1944,1,91038.0,0,0,80,1,3,5,10,1.9730196976615502,1.3862943611198906,6.3835066348840055,5.056245805348308,0.0,2.5649493574615367,1,0,0,0,0,0,0,2014,3,70,31,1,1,0,0,0,4
1961,1,35178.0,1,1,62,4,2,0,4,1.372306733580753,1.791759469228055,2.70805020110221,2.1972245773362196,2.0794415416798357,1.6094379124341003,6,0,0,0,0,0,0,2014,6,53,4,6,1,0,0,0,5
1950,4,61882.8,0,1,46,4,7,1,7,1.9395812163258002,1.3862943611198906,3.871201010907891,1.9459101490553132,0.0,3.5553480614894135,8,0,1,0,0,0,0,2013,12,63,2,1,1,0,0,0,4
1976,2,37392.0,1,0,66,2,2,0,3,1.4087998161504007,1.9459101490553132,3.258096538021482,1.9459101490553132,0.6931471805599453,2.6390573296152584,8,0,0,0,0,0,0,2013,9,37,16,1,1,0,0,0,3
1988,2,56307.6,1,0,97,3,5,1,7,1.7067206012930416,3.871201010907891,4.007333185232471,4.634728988229636,4.3694478524670215,1.9459101490553132,7,0,0,0,0,0,0,2012,8,24,22,6,1,0,0,0,5
1950,1,75414.0,1,1,10,11,3,4,10,2.080391167386565,1.3862943611198906,3.828641396489095,0.0,0.0,3.5553480614894135,8,0,1,0,0,0,0,2012,1,62,10,5,1,0,0,0,3
1957,1,108271.2,0,0,33,1,4,7,12,2.0785680506642317,4.718498871295094,6.476972362889683,5.537334267018537,5.0238805208462765,4.6913478822291435,2,0,0,0,1,0,0,2012,9,55,26,6,1,0,0,0,3
1970,3,53522.4,1,1,42,6,6,1,4,1.8169871572575529,1.791759469228055,4.499809670330265,0.0,0.0,3.5553480614894135,8,0,0,0,0,0,0,2014,2,44,15,2,1,0,0,0,3
1977,0,15085.2,1,0,93,4,3,1,3,1.1622831138840004,2.1972245773362196,2.70805020110221,1.0986122886681098,2.5649493574615367,2.8903717578961645,6,0,0,0,0,0,0,2014,1,37,18,2,1,0,0,0,5
1977,1,82076.4,0,1,13,1,6,9,5,2.033552325467558,4.430816798843313,6.1463292576688975,2.8903717578961645,2.6390573296152584,4.394449154672439,3,0,0,0,0,0,0,2013,11,36,17,3,1,0,0,0,4
1977,3,44874.0,1,0,54,1,1,0,3,1.4298455472897516,1.3862943611198906,2.302585092994046,0.0,0.6931471805599453,2.4849066497880004,6,0,0,0,0,0,0,2014,2,37,5,6,1,0,0,0,4
1954,1,58423.2,1,2,15,1,1,0,2,1.327761429538331,1.3862943611198906,2.0794415416798357,1.0986122886681098,0.0,0.6931471805599453,8,0,0,0,0,0,0,2013,4,59,12,0,1,0,0,0,5
1956,1,78252.0,0,1,32,2,9,3,8,2.008064946667584,1.3862943611198906,4.2626798770413155,0.0,2.0794415416798357,3.367295829986474,6,0,1,0,1,0,0,2014,10,58,3,0,1,0,0,0,5
1973,3,101887.2,0,0,105,1,5,6,12,2.0682226935789534,2.9444389791664403,6.028278520230698,4.605170185988092,3.4339872044851463,4.343805421853684,2,0,1,1,0,1,0,2013,4,40,10,6,1,0,0,0,5
1976,1,95046.0,0,0,80,1,6,5,4,1.97884890904261,3.295836866004329,4.770684624465665,5.19295685089021,3.367295829986474,3.8066624897703196,4,0,0,0,1,0,0,2012,8,36,29,6,1,0,0,0,5
1955,1,70933.2,0,0,97,1,11,1,8,1.9841519500636708,1.3862943611198906,4.90527477843843,3.367295829986474,3.367295829986474,5.049856007249537,7,0,0,0,0,0,0,2013,2,58,5,5,1,0,0,0,5
1982,2,86479.2,0,0,62,1,4,6,6,2.068976349628028,3.6375861597263857,6.285998094508865,4.90527477843843,3.9512437185814275,3.5553480614894135,2,0,0,1,1,0,0,2014,6,32,23,1,1,0,0,0,5
1972,4,36446.4,1,1,40,3,2,0,3,1.3973634811730353,1.3862943611198906,2.5649493574615367,2.0794415416798357,1.3862943611198906,2.0794415416798357,7,0,0,0,0,0,0,2012,12,40,25,5,1,0,0,0,5
1971,1,71870.4,0,1,33,1,2,1,3,1.6807250824647135,1.3862943611198906,2.6390573296152584,0.0,0.6931471805599453,0.0,3,0,0,0,0,0,0,2013,2,42,11,1,1,0,0,0,4
1963,1,65631.59999999999,0,1,79,8,6,4,13,2.0201672674640334,3.044522437723423,4.962844630259907,3.1780538303479458,3.295836866004329,3.58351893845611,6,0,0,0,0,0,0,2013,2,50,17,3,1,0,0,0,4
1959,3,93435.6,0,0,27,1,4,5,10,2.052564182626385,3.7376696182833684,5.768320995793772,2.833213344056216,3.258096538021482,2.5649493574615367,2,0,0,0,0,0,0,2013,11,54,27,6,1,0,0,0,4
1951,3,40831.2,1,1,18,3,2,1,3,1.4298455472897516,2.302585092994046,2.772588722239781,2.5649493574615367,2.1972245773362196,2.8903717578961645,5,0,0,0,0,0,0,2013,5,62,8,6,1,0,0,0,5
1991,1,22714.8,0,0,22,1,1,0,4,1.5341940066777084,1.3862943611198906,2.1972245773362196,3.1780538303479458,1.6094379124341003,2.9444389791664403,6,0,0,0,0,0,0,2013,2,22,16,2,1,0,0,0,5
1947,1,80202.0,0,0,28,1,6,4,13,2.0067835293204093,3.4011973816621555,5.278114659230517,3.5553480614894135,2.8903717578961645,4.955827057601261,2,0,0,0,0,0,0,2013,9,66,28,2,1,0,0,0,3
1966,3,40147.2,1,1,65,2,1,0,3,1.2711498482847257,1.9459101490553132,2.3978952727983707,2.1972245773362196,0.6931471805599453,2.0794415416798357,7,0,0,0,0,0,0,2014,4,48,21,1,1,0,0,0,5
1981,2,55066.8,0,1,49,1,1,0,3,1.5284269505599697,1.3862943611198906,1.9459101490553132,0.0,0.6931471805599453,2.1972245773362196,6,0,0,0,0,0,0,2013,2,32,7,4,1,0,0,0,2
1986,1,53186.4,1,0,37,2,3,0,3,1.5996388013001024,1.3862943611198906,3.713572066704308,1.3862943611198906,0.0,1.3862943611198906,8,0,0,0,0,0,0,2014,6,28,16,1,1,0,0,0,5
1967,1,73543.2,0,1,41,2,7,1,8,1.9303096939764732,1.3862943611198906,4.68213122712422,2.995732273553991,2.302585092994046,4.770684624465665,5,0,0,0,0,0,0,2013,2,46,8,0,1,0,0,0,5
1961,1,36626.4,0,1,13,5,1,2,9,1.827827111719085,2.4849066497880004,4.430816798843313,2.995732273553991,2.4849066497880004,3.295836866004329,2,0,0,0,0,0,0,2012,8,51,17,0,1,0,0,0,3
1985,1,108000.0,0,0,98,1,4,8,5,2.0180397367202874,4.997212273764115,4.897839799950911,4.553876891600541,5.262690188904886,5.488937726156687,1,1,0,1,1,0,0,2013,12,28,23,1,1,0,0,0,5
1978,3,66450.0,0,1,10,1,1,1,6,1.583340520839692,2.70805020110221,4.060443010546419,2.3978952727983707,3.367295829986474,2.70805020110221,2,0,0,0,0,0,0,2013,10,35,17,4,1,0,0,0,5
1974,0,52861.2,1,1,27,4,3,1,4,1.6942663054703442,2.3978952727983707,4.07753744390572,1.9459101490553132,1.3862943611198906,2.9444389791664403,6,0,0,0,0,0,0,2013,1,39,29,5,1,0,0,0,3
1976,3,74286.0,0,1,9,2,4,2,4,1.8169871572575529,1.3862943611198906,3.784189633918261,1.9459101490553132,1.0986122886681098,2.6390573296152584,5,0,0,0,0,0,0,2014,4,38,2,6,1,0,0,0,4
1970,2,57888.0,0,0,80,3,6,3,13,1.942889271495996,4.553876891600541,5.517452896464707,4.174387269895637,3.912023005428146,3.7376696182833684,5,0,0,0,0,0,0,2012,9,42,11,5,1,0,0,0,4
1965,1,54910.8,1,1,20,2,2,0,3,1.583340520839692,1.6094379124341003,2.9444389791664403,1.3862943611198906,0.0,1.6094379124341003,7,0,0,0,0,0,0,2013,2,48,23,2,1,0,0,0,4
1965,3,81979.2,0,1,61,5,10,7,10,2.0411554358660395,4.430816798843313,5.087596335232384,4.795790545596741,2.4849066497880004,3.5263605246161616,6,0,0,0,0,0,0,2012,4,47,11,6,1,0,0,0,2
1986,2,26792.4,1,0,101,1,1,0,3,1.223156202527103,2.0794415416798357,2.1972245773362196,1.0986122886681098,0.0,1.791759469228055,5,0,0,0,0,0,0,2013,2,27,8,0,1,0,0,0,5
1976,1,57813.6,1,1,76,6,5,1,4,1.8092629643515203,2.0794415416798357,3.828641396489095,1.9459101490553132,1.0986122886681098,3.6635616461296463,8,0,0,0,0,0,0,2012,10,36,28,3,1,0,0,0,5
1971,3,93146.4,0,2,10,2,6,3,11,1.9831097569663099,2.3978952727983707,5.043425116919247,2.995732273553991,0.0,2.70805020110221,3,0,0,0,0,0,0,2014,4,43,14,1,1,0,0,0,4
1978,3,39813.6,1,0,16,1,1,0,3,1.358504720646626,2.302585092994046,1.0986122886681098,2.4849066497880004,1.0986122886681098,2.833213344056216,4,0,0,0,0,0,0,2014,1,36,30,4,1,0,0,0,5
1978,2,28515.6,1,0,71,1,1,0,3,1.4660765372061442,1.3862943611198906,1.9459101490553132,1.9459101490553132,1.0986122886681098,1.9459101490553132,7,0,0,0,0,0,0,2012,7,34,8,3,1,0,0,0,5
1972,1,63037.2,0,0,75,2,7,2,10,1.8970839874548464,4.7535901911063645,5.0238805208462765,3.9512437185814275,4.290459441148391,4.836281906951478,6,0,0,0,0,0,0,2012,12,40,30,3,1,0,0,0,5
1952,2,77940.0,0,1,36,2,11,2,10,2.0432161782077447,1.3862943611198906,4.290459441148391,2.5649493574615367,0.0,4.1588830833596715,7,0,1,0,0,0,0,2012,12,60,8,2,1,0,0,0,4
1977,3,30211.2,1,1,86,1,1,0,2,1.1947055233182955,1.3862943611198906,1.6094379124341003,0.0,0.0,1.791759469228055,7,0,0,0,0,0,0,2013,10,36,8,5,1,0,0,0,2
1977,0,11457.6,1,0,38,2,1,0,3,1.026672031199051,1.6094379124341003,1.3862943611198906,2.3978952727983707,1.9459101490553132,2.302585092994046,8,0,0,0,0,0,0,2012,8,35,8,6,1,0,0,0,1
1960,3,85640.4,0,0,31,1,4,5,7,1.8642411184013048,3.295836866004329,5.966146739123692,3.7612001156935624,3.091042453358316,4.330733340286331,2,0,0,0,0,0,0,2013,8,53,23,0,1,0,0,0,5
1980,1,85951.2,0,0,101,1,5,5,8,1.9897285248560848,4.330733340286331,5.932245187448011,4.553876891600541,4.983606621708336,4.290459441148391,3,0,1,0,0,0,0,2012,1,32,11,6,1,0,0,0,5
1984,3,26412.0,1,0,58,2,2,0,3,1.3437034446606386,1.791759469228055,2.302585092994046,1.3862943611198906,0.0,2.1972245773362196,8,0,0,0,0,0,0,2013,6,29,30,3,1,0,0,0,5
1977,3,43539.6,1,1,49,2,1,0,3,1.2484412575662103,2.1972245773362196,1.791759469228055,2.1972245773362196,0.0,1.791759469228055,4,0,0,0,0,0,0,2014,4,37,14,1,1,0,0,0,5
1977,3,43561.2,1,0,60,1,3,0,3,1.3437034446606386,2.772588722239781,3.58351893845611,1.3862943611198906,1.791759469228055,2.5649493574615367,7,0,0,0,0,0,0,2013,10,36,25,0,1,0,0,0,2
1973,1,51922.8,1,0,68,1,1,0,2,1.327761429538331,1.6094379124341003,2.0794415416798357,0.0,0.0,0.6931471805599453,8,0,0,0,0,0,0,2013,9,40,16,1,1,0,0,0,4
1963,4,99085.2,0,0,35,0,6,5,13,2.049631476134806,3.5553480614894135,6.326149473155099,4.143134726391533,4.564348191467836,4.382026634673881,2,0,0,1,0,0,0,2014,2,51,4,5,1,0,0,0,4
1974,3,68520.0,0,0,26,1,3,3,6,1.8295542650992236,3.2188758248682006,4.248495242049359,3.6888794541139363,1.3862943611198906,4.574710978503383,3,0,0,0,0,0,0,2013,4,39,12,0,1,0,0,0,5
